,pagenumber,form,OID,Domain,order,PreText,Question,CDASH,CDASHTYPE,SDTM,SDTMTYPE,codename,codelist,class,x,y,height,width
0,1.0,Subject Identifier,SUB_ID,,2.0,Subject Enrollment ID,,ENRID,SANOFI,,,,,question,70.866,666.671,15.744,108.54
1,1.0,Subject Identifier,SUB_ID,DM,3.0,Subject Identifier for the Study,What is the subject identifier?,SUBJID,IG,DM.SUBJID,IG,,,question,70.866,649.671,15.744,149.172
2,1.0,Subject Identifier,SUB_ID,,4.0,System Date,,SYSDAT,SANOFI,,,,,question,70.866,632.671,15.744,60.924
3,2.0,IVRS Library,IVRS_ALL,SV,2.0,First Visit/Screening Date,What [is/was] the date of the visit?,VISDAT,IG,SVSTDTC;SVENDTC,SANOFI,,,question,70.866,666.671,15.744,125.172
4,2.0,IVRS Library,IVRS_ALL,,3.0,First Run In Visit Date,,DSRUDAT,SANOFI,,,,,question,70.866,649.671,15.744,109.896
5,2.0,IVRS Library,IVRS_ALL,IVRS,4.0,Visit Identifier,,RDVISREF,SANOFI,RDVISREF,SANOFI,,,question,70.866,632.671,15.744,70.896
6,2.0,IVRS Library,IVRS_ALL,DS,5.0,Randomization Date/First IMP Allocation Date,What was the [protocol milestone/disposition event/other event name] date?,DSSTDAT,IG,DSSTDTC,IG,,,question,70.866,615.671,15.744,227.712
10,2.0,IVRS Library,IVRS_ALL,DS,6.0,Randomization Time/First IMP Allocation Time,What was the [protocol milestone/disposition event/other event name] time?,DSSTTIM,IG,DSSTDTC,IG,,,question,70.866,598.671,15.744,233.04
12,2.0,IVRS Library,IVRS_ALL,IVRS;RAND,7.0,Randomization Number,,RDRAND,SANOFI,RDRAND,SANOFI,,,question,70.866,581.671,15.744,115.536
13,2.0,IVRS Library,IVRS_ALL,IVRS;RAND,8.0,Randomization Block Number,,RDBLKNB,SANOFI,RDBLKNB,SANOFI,,,question,70.866,564.671,15.744,147.168
14,2.0,IVRS Library,IVRS_ALL,IVRS;RAND,9.0,Randomization Sequence Number,,RDSEQNB,SANOFI,RDSEQNB,SANOFI,,,question,70.866,547.671,15.744,164.472
15,2.0,IVRS Library,IVRS_ALL,IVRS;RAND,10.0,Stratification Factor 1,,RDSTRAT1,SANOFI,RDSTRAT1,SANOFI,,,question,70.866,530.671,15.744,105.18
16,2.0,IVRS Library,IVRS_ALL,IVRS;RAND,11.0,Stratification Factor 2,,RDSTRAT2,SANOFI,RDSTRAT2,SANOFI,,,question,70.866,513.671,15.744,105.18
17,2.0,IVRS Library,IVRS_ALL,IVRS;RAND,12.0,Stratification Factor 3,,RDSTRAT3,SANOFI,RDSTRAT3,SANOFI,,,question,70.866,496.671,15.744,105.18
18,2.0,IVRS Library,IVRS_ALL,IVRS;RAND,13.0,Stratification Factor 4,,RDSTRAT4,SANOFI,RDSTRAT4,SANOFI,,,question,70.866,479.671,15.744,105.18
19,2.0,IVRS Library,IVRS_ALL,IVRS;RAND,14.0,Stratification Factor 5,,RDSTRAT5,SANOFI,RDSTRAT5,SANOFI,,,question,70.866,462.671,15.744,105.18
20,2.0,IVRS Library,IVRS_ALL,IVRS,15.0,Treatment Number as Planned,,RDTTNBX,SANOFI,RDTTNBX,SANOFI,,,question,70.866,445.671,15.744,146.148
21,2.0,IVRS Library,IVRS_ALL,IVRS;RAND,16.0,Treatment Arm as Planned,,RDARM,SANOFI,RDARM,SANOFI,,,question,70.866,428.671,15.744,128.832
22,2.0,IVRS Library,IVRS_ALL,IVRS,17.0,Subgroup Information as Planned 1,,RDGROUP1,SANOFI,RDGROUP1,SANOFI,,,question,70.866,411.671,15.744,170.556
23,2.0,IVRS Library,IVRS_ALL,IVRS,18.0,Subgroup Information as Planned 2,,RDGROUP2,SANOFI,RDGROUP2,SANOFI,,,question,70.866,394.671,15.744,170.556
24,2.0,IVRS Library,IVRS_ALL,IVRS,19.0,Subgroup Information as Planned 3,,RDGROUP3,SANOFI,RDGROUP3,SANOFI,,,question,70.866,377.671,15.744,170.556
25,2.0,IVRS Library,IVRS_ALL,IVRS,20.0,Treatment Side as Planned,,RDSIDE,SANOFI,RDSIDE,SANOFI,LAT_01,LEFT;RIGHT,question,70.866,360.671,15.744,128.16
26,2.0,IVRS Library,IVRS_ALL,IVRS,21.0,Category for Treatment,,RDTTCAT,SANOFI,RDTTCAT,SANOFI,,,question,70.866,325.671,15.744,113.172
27,2.0,IVRS Library,IVRS_ALL,IVRS,22.0,Date of Treatment Allocation,,RDALDAT,SANOFI,RDALDTC,SANOFI,,,question,70.866,308.671,15.744,141.444
28,2.0,IVRS Library,IVRS_ALL,IVRS,23.0,Time of Treatment Allocation,,RDALTIM,SANOFI,RDALDTC,SANOFI,,,question,70.866,291.671,15.744,144.108
29,2.0,IVRS Library,IVRS_ALL,IVRS,24.0,Date of Treatment Allocation (IVRS/IWRS),,RDALGDAT,SANOFI,RDALGDTC,SANOFI,,,question,70.866,274.671,15.744,213.06
30,2.0,IVRS Library,IVRS_ALL,IVRS,25.0,Time of Treatment Allocation (IVRS/IWRS),,RDALGTIM,SANOFI,RDALGDTC,SANOFI,,,question,70.866,257.671,15.744,215.724
31,2.0,IVRS Library,IVRS_ALL,IVRS,26.0,Is there a blind broken?,,RDBKUNB,SANOFI,RDBKUNB,SANOFI,,,question,70.866,240.671,15.744,113.208
32,2.0,IVRS Library,IVRS_ALL,IVRS,27.0,Local Date of blind broken,,RDBKDAT,SANOFI,RDBKDDTC,SANOFI,,,question,70.866,223.671,15.744,129.852
33,2.0,IVRS Library,IVRS_ALL,IVRS,28.0,Function of the blind breaker,,RDBKWHO,SANOFI,RDBKWHO,SANOFI,DSCBWHOR,ESMS;INVESTIGATOR;PHARMACIST;STUDY NURSE,question,70.866,206.671,15.744,139.86
34,2.0,IVRS Library,IVRS_ALL,,29.0,IVRS original export date and time,,EXPRTDT,SANOFI,,,,,question,70.866,139.671,15.744,168.804
35,2.0,IVRS Library,IVRS_ALL,,30.0,IVRS Transaction ID,,RDSPID,SANOFI,,,,,question,70.866,122.671,15.744,102.564
36,3.0,Visit Date,SV_01,,2.0,Was the visit performed?,,VISYN,SANOFI,,,NY_YN,Y;N,question,70.866,666.671,15.744,120.84
37,3.0,Visit Date,SV_01,,3.0,"If yes, provide the date:",,PROMPT_VISDAT,SANOFI,,,,,question,70.866,631.659,15.948,113.52
38,3.0,Visit Date,SV_01,SV,4.0,Date of Visit,What [is/was] the date of the visit?,VISDAT,IG,SVSTDTC;SVENDTC,SANOFI,,,question,80.866,614.671,15.744,61.92
39,4.0,Inclusion/Exclusion,IE_NC,SUPPDM;SUPPIE,2.0,Protocol Version,,IEVERS,SANOFI,IEVERS,SANOFI,PROTVER,ORIGINAL PROTOCOL;AMENDMENT 1;AMENDMENT 2;AMENDMENT 3;AMENDMENT 4;AMENDMENT 5;AMENDMENT 6;AMENDMENT 7;AMENDMENT 8;AMENDMENT 9;AMENDMENT 10;VERSION 1;VERSION 2;VERSION 3,question,70.866,666.671,15.744,81.6
40,4.0,Inclusion/Exclusion,IE_NC,,3.0,Did the subject meet all eligibility criteria?,Were all eligibility criteria met?,IEYN,IG,,,NY_YN,Y;N,question,70.866,439.671,15.744,205.632
41,4.0,Inclusion/Exclusion,IE_NC,,4.0,"If no, specify Criterion Category(ies) and Number(s).",,PROMPT_IECAT_IETEST,SANOFI,,,,,question,70.866,404.659,15.948,256.416
42,4.0,Inclusion/Exclusion,IE_NC,IE,5.0,Criterion Category,What was the category of the criterion?,IECAT,IG,IECAT,IG,IECAT,EXCLUSION;INCLUSION,question,70.866,387.671,15.744,90.216
43,4.0,Inclusion/Exclusion,IE_NC,,6.0,Criterion Number and Description,,IETESTDS,SANOFI,,,,,question,70.866,352.671,15.744,164.82
44,4.0,Inclusion/Exclusion,IE_NC,IE,7.0,Criterion Number,What was the identifier of the inclusion criterion the subject did not meet or the exclusion criterion the subject met ?,IETESTCD,IG,IETESTCD,IG,,,question,70.866,335.671,15.744,85.572
45,4.0,Inclusion/Exclusion,IE_NC,,8.0,Technical field for Dynamic searchlist needs,,IETECHFLD,SANOFI,,,IE_TI,TECHDUMVAL;ORIGINAL PROTOCOL#_#I01;ORIGINAL PROTOCOL#_#I02;ORIGINAL PROTOCOL#_#I03;ORIGINAL PROTOCOL#_#E01;ORIGINAL PROTOCOL#_#E02;ORIGINAL PROTOCOL#_#E03;ORIGINAL PROTOCOL#_#E04;ORIGINAL PROTOCOL#_#E05;ORIGINAL PROTOCOL#_#E06;ORIGINAL PROTOCOL#_#E07;ORIGINAL PROTOCOL#_#E08;ORIGINAL PROTOCOL#_#E09;ORIGINAL PROTOCOL#_#E10;ORIGINAL PROTOCOL#_#E11;ORIGINAL PROTOCOL#_#E12;ORIGINAL PROTOCOL#_#E13;ORIGINAL PROTOCOL#_#E14;ORIGINAL PROTOCOL#_#E15;ORIGINAL PROTOCOL#_#E16;ORIGINAL PROTOCOL#_#E17;ORIGINAL PROTOCOL#_#E18;ORIGINAL PROTOCOL#_#E19;ORIGINAL PROTOCOL#_#E20;ORIGINAL PROTOCOL#_#E21;ORIGINAL PROTOCOL#_#E22;ORIGINAL PROTOCOL#_#E23,question,70.866,318.671,15.744,214.68
46,8.0,Informed Consent Date,DS_IC_DAT,,2.0,Informed Consent,,PROMPT_DSDECOD,SANOFI,,,,,question,70.866,666.659,15.948,86.268
47,8.0,Informed Consent Date,DS_IC_DAT,DS,3.0,INFORMED CONSENT OBTAINED,What was the subject's status?,DSDECOD,IG,DSDECOD,IG,INFCST,INFORMED ASSENT OBTAINED FROM JUVENILE;INFORMED CONSENT OBTAINED;INFORMED CONSENT OBTAINED FOR ARCHIVED BIOPSY;INFORMED CONSENT OBTAINED FOR ARCHIVED BLOOD SAMPLES;INFORMED CONSENT OBTAINED FOR CHILD REACHING AGE OF MAJORITY;INFORMED CONSENT OBTAINED FOR DRUG METABOLISM ENZYME;INFORMED CONSENT OBTAINED FOR FRESH BIOPSY;INFORMED CONSENT OBTAINED FOR HIV TESTING;INFORMED CONSENT OBTAINED FOR PHARMACOGENETIC ANALYSIS;INFORMED CONSENT OBTAINED FOR PHARMACOGENETIC BANKING;INFORMED CONSENT OBTAINED FOR PHARMACOGENOMIC;INFORMED CONSENT OBTAINED FOR PHARMACOKINETICS;INFORMED CONSENT OBTAINED FOR STUDY;INFORMED CONSENT OBTAINED FOR USE OF DATA AND SAMPLES FOR FUTURE RESEARCH;INFORMED CONSENT OBTAINED TO PERFORM AUTOPSY;INFORMED CONSENT OBTAINED TO PERFORM HEFH GENOTYPING;INFORMED CONSENT OBTAINED TO USE PREVIOUS HEFH GENOTYPING,question,70.866,649.671,15.744,185.22
48,8.0,Informed Consent Date,DS_IC_DAT,DS,3.0,INFORMED CONSENT OBTAINED,"What was the subject's status?; If [DSDECOD], specify",DSTERM,IG,DSTERM,IG,,,question,70.866,649.671,15.744,185.22
49,8.0,Informed Consent Date,DS_IC_DAT,DS,4.0,INFORMED CONSENT OBTAINED,What was the subject's status?,DSDECOD,IG,DSDECOD,IG,INFCST,INFORMED ASSENT OBTAINED FROM JUVENILE;INFORMED CONSENT OBTAINED;INFORMED CONSENT OBTAINED FOR ARCHIVED BIOPSY;INFORMED CONSENT OBTAINED FOR ARCHIVED BLOOD SAMPLES;INFORMED CONSENT OBTAINED FOR CHILD REACHING AGE OF MAJORITY;INFORMED CONSENT OBTAINED FOR DRUG METABOLISM ENZYME;INFORMED CONSENT OBTAINED FOR FRESH BIOPSY;INFORMED CONSENT OBTAINED FOR HIV TESTING;INFORMED CONSENT OBTAINED FOR PHARMACOGENETIC ANALYSIS;INFORMED CONSENT OBTAINED FOR PHARMACOGENETIC BANKING;INFORMED CONSENT OBTAINED FOR PHARMACOGENOMIC;INFORMED CONSENT OBTAINED FOR PHARMACOKINETICS;INFORMED CONSENT OBTAINED FOR STUDY;INFORMED CONSENT OBTAINED FOR USE OF DATA AND SAMPLES FOR FUTURE RESEARCH;INFORMED CONSENT OBTAINED TO PERFORM AUTOPSY;INFORMED CONSENT OBTAINED TO PERFORM HEFH GENOTYPING;INFORMED CONSENT OBTAINED TO USE PREVIOUS HEFH GENOTYPING,question,70.866,140.671,15.744,185.22
50,8.0,Informed Consent Date,DS_IC_DAT,DS,4.0,INFORMED CONSENT OBTAINED,"What was the subject's status?; If [DSDECOD], specify",DSTERM,IG,DSTERM,IG,,,question,70.866,140.671,15.744,185.22
51,8.0,Informed Consent Date,DS_IC_DAT,DS,5.0,Date of Informed Consent,What was the [protocol milestone/disposition event/other event name] date?,DSSTDAT,IG,DSSTDTC,IG,,,question,70.866,109.671,15.744,125.544
55,9.0,Informed Consent for Future Use of Data and Samples,DS_IC_FUTURE,DS,2.0,INFORMED CONSENT OBTAINED,What was the subject's status?,DSDECOD,IG,DSDECOD,IG,INFCST,INFORMED ASSENT OBTAINED FROM JUVENILE;INFORMED CONSENT OBTAINED;INFORMED CONSENT OBTAINED FOR ARCHIVED BIOPSY;INFORMED CONSENT OBTAINED FOR ARCHIVED BLOOD SAMPLES;INFORMED CONSENT OBTAINED FOR CHILD REACHING AGE OF MAJORITY;INFORMED CONSENT OBTAINED FOR DRUG METABOLISM ENZYME;INFORMED CONSENT OBTAINED FOR FRESH BIOPSY;INFORMED CONSENT OBTAINED FOR HIV TESTING;INFORMED CONSENT OBTAINED FOR PHARMACOGENETIC ANALYSIS;INFORMED CONSENT OBTAINED FOR PHARMACOGENETIC BANKING;INFORMED CONSENT OBTAINED FOR PHARMACOGENOMIC;INFORMED CONSENT OBTAINED FOR PHARMACOKINETICS;INFORMED CONSENT OBTAINED FOR STUDY;INFORMED CONSENT OBTAINED FOR USE OF DATA AND SAMPLES FOR FUTURE RESEARCH;INFORMED CONSENT OBTAINED TO PERFORM AUTOPSY;INFORMED CONSENT OBTAINED TO PERFORM HEFH GENOTYPING;INFORMED CONSENT OBTAINED TO USE PREVIOUS HEFH GENOTYPING,question,70.866,666.671,15.744,185.22
